list_1,list_2,list_3
abecedarian,aahs,abide
abracadabra,abaka,abjure
accoutrements,abba,abroad
adagio,abduct,adamant
aficionado,abuzz,afield
agita,acyl,aforetime
agog,acyls,aghast
akimbo,adzuki,agin
alfresco,affix,aloof
aloof,afflux,amiss
ambrosial,agaze,anon
amok,agnize,apace
ampersand,ague,argent
anemone,ajiva,arrassed
anthropomorphic,ajuga,askance
antimacassar,amylum,assuage
aplomb,amylums,astonied
apogee,aqua,attercop
apoplectic,aquae,aught
appaloosa,aucuba,aumbry
apparatus,auks,bade
archipelago,awls,baldric
atingle,awny,bannock
avuncular,awry,barrel
azure,axil,baseborn
babushka,axils,bason
bailiwick,azoic,bay
bafflegab,azygos,bebother
balderdash,babka,befall
ballistic,baff,belie
bamboozle,baffs,benighted
bandwagon,baffy,bent
barnstorming,baggy,beset
beanpole,bags,besom
bedlam,baize,besotted
befuddled,baobab,besought
bellwether,baobabs,bier
berserk,baps,billow
bibliopole,baud,bivouac
bigmouth,bauds,blazoned
bippy,baulk,bole
blabbermouth,baulks,bond
blatherskite,baulky,booby
blindside,bawd,boon
blob,bawdry,brakes
blockhead,bawds,brazen
blowback,bawdy,brock
blowhard,bawl,brood
blubbering,bawls,brook
bluestockings,bawty,buckler
boing,bazoo,bulwark
bombastic,bazooka,burg
bonanza,bezazz,burgeon
bonkers,bibb,burnished
boondocks,bibbs,byre
boondoggle,bibs,cairn
borborygmus,biff,canker
bozo,biffs,carcanet
braggadocio,biffy,carouse
brainstorm,bigs,carven
brannigan,bikie,cataract
breakneck,bilgy,causeway
brouhaha,bilks,cesspool
buckaroo,biopsy,chalcedony
bucolic,birk,champ
buffoon,birks,charger
bugaboo,bize,chestnut
bugbear,blub,chime
bulbous,blubs,chine
bumbledom,bluegum,churl
bumfuzzle,bluegums,circlet
bumptious,bluejay,clamant
bumpkin,bluff,clave
bungalow,bluffs,clomb
bunkum,bobs,closeserried
bupkis,bocci,cloven
burnsides,boccia,cob
busybody,boggy,cockshutlight
cacophony,bogs,coëval
cahoots,bogy,coffer
calamity,boozy,comely
calliope,bops,commons
candelabra,boxful,compass
canoodle,boxfuls,conclave
cantankerous,boxy,concourse
catamaran,bozo,coney
catastrophe,bozos,confines
catawampus,brrr,confusticate
caterwaul,brulzie,constellate
chatterbox,brumby,cony
chichi,bubby,cools
chimerical,bubs,coomb
chimichanga,buddy,coop
chitchat,buff,corbel
clandestine,buffs,coronal
claptrap,buffy,corslet
clishmaclaver,buggy,cot
clodhopper,buhl,counsels
coccyx,buhls,coverlet
cockamamie,buhr,covet
cockatoo,bumf,covetice
codswallop,bumfs,cozen
collywobbles,bumph,craven
colossus,bumphs,crocks
comeuppance,bumps,culvert
concoction,bumpy,cumbrous
conniption,bums,cunninghanded
contraband,buoy,cur
conundrum,buoys,curdle
convivial,buys,dainty
copacetic,buzuki,damask
corkscrew,buzukia,darkling
cornucopia,buzz,dastard
cowabunga,byrl,daunt
coxcomb,byrls,dearth
crackerjack,caky,declaim
crescendo,caws,deem
crestfallen,cazique,defile
cryptozoology,chukka,defray
cuckoo,ciao,dell
curlicue,cirque,descry
curmudgeon,civvy,devices
demitasse,cloggy,dingle
denouement,cloze,dissemble
derecho,clubby,divers
desperado,cluck,doggrel
diaphanous,clucks,dolven
digeridoo,clue,doom
dilemma,clump,dotard
dillydally,clumps,doughty
dimwit,clumpy,dour
diphthong,clumsy,draught
dirigible,clunks,drear
discombobulated,clunky,dregs
dodecahedron,coccyx,dromund
doldrums,coxae,eaves
donkeyman,crucify,eld
donnybrook,cruck,ell
doodad,crucks,embattled
doppelganger,crud,embrasure
dumbfounded,cruddy,encompass
dumbwaiter,crumb,ere
dunderhead,crumbs,errantry
earwig,crumbum,espy
eavesdrop,crumbums,essay
ebullient,crumby,esteem
effervescence,crummy,ewer
egads,crump,eyot
eggcorn,crumps,falter
egghead,crux,fanetemple
elixir,crypt,fare
ephemeral,cubby,fastness
epiphany,cubic,fawn
ersatz,cubics,fealty
eucatastrophe,cubs,feign
extraterrestrial,cuddy,fell
finagle,cuff,fender
fandango,cuffs,fetter
festooned,cuif,fey
fez,cuifs,field
fiasco,cuke,figured
fiddlesticks,cuppy,firth
finicky,cuprum,flagon
firebrand,cuprums,flammifer
fishwife,cups,flank
fisticuffs,curvy,flet
flabbergasted,cusks,flittermice
flapdoodle,cwms,flotsam
flibbertigibbet,doggy,flummoxed
flimflam,dogy,fold
flippant,dojo,footpad
floccinaucinihi,doxy,forbear
flophouse,doze,forebode
flotsam,dozy,forespeak
flummery,drub,foreswear
flummoxed,drubs,forgo
flyaway,druggy,forlorn
flyspeck,drum,forsake
folderol,drums,forsooth
foofaraw,dubs,fortnight
foolhardy,duci,fosse
foolscap,duck,founder
footloose,ducks,fraught
fopdoodle,ducky,freshet
fortuitous,duct,furlong
fracas,duddy,gaffer
frangipani,duds,gainsay
freewheeling,duff,gallop
fricassee,duffs,game
frippery,dugs,gammer
frogman,duke,garner
froufrou,dulcify,garth
fussbudget,dumb,ghyll
futz,dumbs,gibbet
gadfly,dumdum,gimlet
gadzooks,dumdums,girdle
gallimaufry,dumka,girt
gambit,dumky,glede
gangplank,dummkopf,gloaming
gangway,dummkopfs,glower
gargoyle,dummy,goggle
gasbag,dump,gorcrow
gazebo,dumps,graven
gazpacho,dumpy,greened
gewgaw,dunks,grot
genteel,duos,guileful
ghostwriter,dups,gunwale
gibberish,dusks,habergeon
gimcrack,dusky,hale
gizmo,duumvir,hame
glabella,dybbuk,hang
glitch,dybbukim,harbour
globetrotter,dybbuks,hardly
gobbledygook,dyke,harry
gobsmacked,ebbs,haste
googolplex,effluvia,hauberk
goosebump,effluvium,headstall
gooseflesh,effluviums,hearken
gorgonzola,efflux,heed
gossamer,eggcup,heedless
grandiloquent,eggcups,hemlock
greenhorn,eggy,hence
guffaw,epizoa,hew
gumshoe,equip,hither
guru,equips,hoar
gussied,equivoque,hobble
guttersnipe,exam,hock
haberdashery,exams,houseleek
haboob,exequy,hue
hairpin,expo,hummock
halcyon,exurbs,hundredweight
halfwit,exuvia,huntersmoon
hangdog,exuviae,hythe
haphazard,exuvium,jacinth
harebrained,faggy,jetsa
harumph,faqir,keen
headlong,faux,kerb
heartstrings,faze,kindle
heirloom,feud,lampads
hemidemisemiquaver,fibs,lave
heyday,fique,lay
highfalutin,fixt,league
hijinks,fizgig,leaguer
hillbilly,fizgigs,leave
hippocampus,fizz,lee
hippogriff,fizzy,leech
hobbledehoy,flaxy,leechcraft
hobnobbed,flub,legendarium
hodgepodge,flubdub,lissom
hogwash,flubdubs,loath
hokum,flubs,lob
hoodoo,flue,loth
hoodwink,fluff,louver
hooey,fluffs,lustiheadvigour
hooligan,fluffy,malefactor
hoopla,fluke,mantle
hootenanny,flukey,mar
hornswoggle,fluky,march
horsefeathers,flummox,marchwarden
hotbed,flump,mark
hotfoot,flumps,marshal
hothead,flunk,mattock
hubbub,flunks,maw
hullabaloo,flunky,mayhap
humbug,fluyt,mead
humdinger,foggy,meed
humdrum,foxy,mere
hushpuppy,fozy,mew
huzzah,frug,midge
hyperbole,frugs,mischance
idiom,frump,misgive
idiosyncrasies,frumps,moonshine
igloo,frumpy,muster
ignoramus,fubs,nethermost
impromptu,fubsy,nicety
incognito,fuci,nigh
incorrigible,fuck,nightshade
incredulous,fucks,ninnyhammer
indomitable,fuckup,noisome
indubitably,fuckups,nook
infinitesimal,fudge,nowt
interloper,fuggy,oast
interrobang,fugs,obeisance
ironclad,fugu,oryet
izzard,fugue,ostler
jabberwocky,fuji,oust
jacuzzi,fumy,outworn
jalopy,funks,overbear
jamboree,funky,pallid
jargogle,furze,panoply
jawbreaker,furzy,parapet
jetsam,fuze,parley
jink,fuzil,passward
jitney,fuzils,pate
jubilee,fuzz,pent
juggernaut,fuzzy,penthouse
jujubes,fyke,perforce
jumbo,gaud,pinion
junket,gaudy,plash
juxtaposition,gaum,pleasance
kaleidoscope,gaums,plenilune
kaput,gauze,portage
kerfuffle,gauzy,portent
kerplunk,gawk,postern
kibosh,gawks,pricks
killjoy,gawky,profound
kismet,gawp,prosy
knickerbocker,gawps,provender
knickknack,gawsy,puissant
kowtow,gaze,purloin
kumquat,gazump,quaff
kvetch,gazumps,quail
lackadaisical,geum,raiment
lagoon,geums,rearguard
lambasted,gibs,recked
lampoon,gigue,rede
landlubber,gips,redound
laughingstock,gipsy,redress
lexicographer,gizmo,reft
limburger,glaze,rent
lingo,glazy,repair
loco,gloggs,respite
loggerhead,gloze,revelry
logjam,glue,rick
logophile,gluey,rill
logorrhea,glug,rondured
lollapalooza,glugs,rude
lollygag,glum,rue
loofah,glumpy,rumour
loony,glycyl,ruth
loophole,glycyls,sable
lugubrious,gnus,sallow
lummox,gobs,saps
machinations,grub,sate
madcap,grubby,save
maelstrom,grubs,seamews
magnificent,grue,selenites
majordomo,gruff,semblance
malapropism,gruffs,shade
malarkey,gruffy,shallop
manifesto,grugru,shank
mastermind,grum,share
mayhem,grump,sheaf
mealymouthed,grumphy,shoal
mellifluous,grumps,shore
menagerie,grumpy,shun
miasma,guava,slot
miffed,guck,slowcoach
milquetoast,gucks,sluggard
misanthrope,guff,smite
mishmash,guffaw,snuff
moocher,guffaws,sojourn
mollycoddle,guffs,sooth
mondegreen,gulfy,sortie
moniker,gulp,spinney
monkeyshines,gulps,sprent
monsoon,gulpy,stead
mnemonic,gumbo,stem
moonstruck,gummy,stock
mudpuppy,gums,stoop
mudslinger,gunks,straightway
muffuletta,gunky,strait
mufti,guppy,straitly
mulligatawny,guvs,strand
murmuration,gyms,stricken
muumuu,gyps,suaded
nabob,gypsum,succour
nimrod,gypsums,sunder
nincompoop,gypsy,surname
nitwit,gyrus,sward
nomenclature,hubbub,swart
nonplussed,hubbubs,swarthy
nonilllion,hubby,swath
nonuplets,hubcap,swoon
noodge,hubcaps,tarn
nudnik,hubs,tarry
numbskull,huck,thanksgiving
onomatopoeia,hucks,thenceforward
oomph,huff,thither
orotund,huffs,thraldom
outfox,huffy,thrall
outlandish,hugs,thrawn
oxymoron,hulk,throe
pachyderm,hulks,throve
pagoda,hulky,thwart
palindrome,humbug,tidings
palomino,humbugs,tilth
panache,humdrum,tipsy
pandemonium,humdrums,tithe
pantaloons,hump,toils
papyrus,humph,toothsome
parabola,humphs,tors
parallelogram,humps,tracery
parapet,humpy,traffic
paraphernalia,hums,trammels
peccadillo,hunks,traverse
pedagogue,hunky,trove
peewee,husks,truncheon
persimmon,husky,tryst
persnickety,hutzpahs,tumult
petrichor,huzza,tunic
pettifogger,huzzah,tuppence
phalanx,huzzahs,turnkey
phantasmagorical,hydroxyl,tussock
phantonym,hydroxyls,twine
phylactery,hymn,umbel
piffle,hymns,umbraged
pizzazz,hype,unblazoned
plethora,hypo,ungentle
pogo,hypogeum,unquiet
pogonip,hypogyny,unsated
pollex,hypoxia,unsullied
pollywog,hypoxic,upbraid
poltroon,hyps,upheave
pomposity,iambs,vale
poppycock,iffy,varmint
portmanteau,iglu,vassal
potpourri,ilka,vie
pseudonym,ilks,vigil
pugnacious,irks,viol
pulchritudinous,ixia,waif
pusillanimous,jabs,wain
pussyfoot,jagg,wan
quibble,jaggs,wards
quicksilver,jaggy,ware
quicksticks,jags,waver
quiddle,jamb,wax
quinzee,jambs,waylay
quirky,jammy,wayward
quixotic,jams,wellnigh
quizzity,jauk,weregild
raconteur,jauks,wheedle
rainmaker,jaup,whelm
ragamuffin,jaups,whence
ragtag,java,whereat
ramshackle,jaws,wherefore
ransack,jazzy,whet
rapscallion,jehu,whickering
razzmatazz,jejunum,whitethorn
rejigger,jeux,whither
rendezvous,jiao,wildered
resplendent,jibb,wile
rickrack,jibbs,wizened
ricochet,jibs,wold
riffraff,jiff,wont
rigmarole,jiffs,worrit
riposte,jiffy,worst
roundabout,jigs,wrack
roustabout,jimjams,wraith
rubberneck,jimpy,wreathe
ruckus,jipijapa,wrest
ruffian,jock,writhen
rugrat,jocko,wroth
rumpus,jocks,yammer
sabayon,joey,yoke
sardoodledom,jogs,yonder
sashay,johns,yore
sassafras,jojoba,zenith
